iter	RMSE
361	0.3148567408
362	0.3147836131
363	0.3147803109
364	0.3147160991
365	0.3146852116
366	0.3146258218
367	0.3145397127
368	0.314518681
369	0.3144429991
370	0.3143927244
371	0.3143896515
372	0.3143670811
373	0.3143271796
374	0.3143038957
375	0.3142507239
376	0.3141717335
377	0.314136282
378	0.3140444178
379	0.3139909018
380	0.3139221294
381	0.313891781
382	0.3138481065
383	0.3137782413
384	0.3137744989
385	0.3137146539
386	0.3136685461
387	0.3136288331
388	0.3136254251
389	0.3136188781
390	0.3135861179
391	0.3135516933
392	0.3135182945
393	0.3134410671
394	0.3134090254
395	0.3133539052
396	0.313319429
397	0.3132516337
398	0.3131557017
399	0.3131381745
400	0.3130442242
401	0.3130098284
402	0.3129661982
403	0.3129349801
404	0.3128697112
405	0.312811016
406	0.3127008391
407	0.3126620482
408	0.3126318066
409	0.3125698891
410	0.3125442236
411	0.3125419307
412	0.3124885229
413	0.3124590491
414	0.3124173439
415	0.3123292751
416	0.3123117773
417	0.3122489475
418	0.3122263832
419	0.3121903536
420	0.3121335552
421	0.3121178614
422	0.3120256586
423	0.3119762212
424	0.3119736459
425	0.3119570673
426	0.3118748109
427	0.311779531
428	0.3117608256
429	0.3117050335
430	0.3116819642
431	0.3116798586
432	0.3116522676
433	0.3116213894
434	0.3115921093
435	0.3115296609
436	0.3114874074
437	0.3113983936
438	0.3113543017
439	0.3112674986
440	0.3112457649
441	0.3112096605
442	0.3111537369
443	0.3111113362
444	0.3110613955
445	0.311041024
446	0.310980109
447	0.3109273338
448	0.310904417
449	0.3109022619
450	0.3108380635
451	0.3107775847
452	0.3107482436
453	0.3107204606
454	0.3106703194
455	0.3106636866
456	0.310610545
457	0.3105735682
458	0.3105434766
459	0.3104943514
460	0.3104526922
461	0.3104123983
462	0.310410118
463	0.3103938
464	0.3103454581
465	0.3103156498
466	0.3102773564
467	0.3102547734
468	0.310247277
469	0.3102096107
470	0.3101678072
471	0.3101325732
472	0.3101124482
473	0.3100876005
474	0.3100799305
475	0.3100588713
476	0.3100077408
477	0.3099988103
478	0.3099973583
479	0.309969447
480	0.3099567132
481	0.3099231837
482	0.3099131279
483	0.3098826323
484	0.3098561363
485	0.3098068834
486	0.3097972073
487	0.3097455793
488	0.3097335091
489	0.3096869703
490	0.3096608916
491	0.3096281457
492	0.3095983707
493	0.3095691087
494	0.3095361538
495	0.3095046063
496	0.3094665997
497	0.3094511424
498	0.3094124462
499	0.3093765786
